StdInChIKey,SMILES,LogS,T,Source
HUYYFHGIHVULSU-UHFFFAOYSA-N,NS(=O)(=O)C1=CC(=CC=C1)S(N)(=O)=O,-0.760630239,25,Reaxys
HWVAWHHNNDOXDU-PTHRTHQKSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CC(C)C,-1.672818005,20,Reaxys
HXEWMTXDBOQQKO-UHFFFAOYSA-N,ClC1=CC=C2C(Cl)=CC=NC2=C1,-0.097865989,26.04,Reaxys
HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,-2.504718085,25,Reaxys
HXIGUHNNGMNPTO-UHFFFAOYSA-N,CCCCCCCC(O)CC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-1.163185841,20,Reaxys
HYXITZLLTYIPOF-UHFFFAOYSA-N,CC1=COC2=C1C(=O)C(=O)C1=C3CCCC(C)(C)C3=CC=C21,-1.916855674,20.14,Reaxys
HZKJLTIPRKRDQX-CCEZHUSRSA-N,CCCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-0.929049367,20,Reaxys
HZRSNVGNWUDEFX-UHFFFAOYSA-N,CON(C(=O)OC)C1=C(COC2=NN(C=C2)C2=CC=C(Cl)C=C2)C=CC=C1,0.110336443,20,Reaxys
IAHOUQOWMXVMEH-UHFFFAOYSA-N,NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,-0.782235366,19.5,Reaxys
IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N\N=C\C1=CC=C(O1)N(=O)=O,-1.91405064,NA,Reaxys
IAJJZOUCJCCJTG-UHFFFAOYSA-N,C1OC(OC1C1OC(OC1C1COC(O1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-2.172700209,17,Reaxys
IAOCRFBMFNOPFQ-UHFFFAOYSA-N,OOC1(C2=CC=CC=C2)C2=CC=CC=C2C(OO)(C2=CC=CC=C2)C2=C1C=CC=C2,-2.054111614,17,Reaxys
IBSNKSODLGJUMQ-SDNWHVSQSA-N,CO\C=C(\C(=O)OC)C1=C(COC2=NC(=CC=C2)C(F)(F)F)C=CC=C1,-0.167110479,20,Reaxys
ICSNLGPSRYBMBD-UHFFFAOYSA-N,NC1=NC=CC=C1,0.853080619,24.99,Reaxys
IDYZIJYBMGIQMJ-UHFFFAOYSA-N,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(N1CCNCC1)C(F)=C2,-2.028466869,25,Reaxys
IEDVJHCEMCRBQM-UHFFFAOYSA-N,COC1=CC(CC2=C(N)N=C(N)N=C2)=CC(OC)=C1OC,-1.920111701,24.8,Reaxys
IFLREYGFSNHWGE-UHFFFAOYSA-N,C1=CC2=CC3=CC4=CC=CC=C4C=C3C=C2C=C1,-2.167497354,20,Reaxys
IHPPHZLFDYXMCE-IIWURLRVSA-N,CC[C@H]1C2=C(CC[C@@]1(C)C(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C)C1=C(C=C2)C=C(OC)C=C1,-1.623085206,20,Reaxys
IHYJTAOFMMMOPX-LURJTMIESA-N,[H][C@](NC(C)=O)(C(C)C)C(O)=O,-0.463121583,25,Reaxys
IIACRCGMVDHOTQ-UHFFFAOYSA-N,NS(O)(=O)=O,-1.490265876,NA,Reaxys
IJFXRHURBJZNAO-UHFFFAOYSA-N,OC(=O)C1=CC=CC(O)=C1,0.274707345,23,Reaxys
IKCLCGXPQILATA-UHFFFAOYSA-N,OC(=O)C1=CC=CC=C1Cl,0.258612562,15,Reaxys
IMNIMPAHZVJRPE-UHFFFAOYSA-N,C1CN2CCN1CC2,-0.041083069,25,Reaxys
IMOPXBPHKARACH-UHFFFAOYSA-N,CCOCN1C(=O)C2=C(C=CC=C2)C1=O,-2.914264861,25,Reaxys
INNYTHHRUGCEEV-UNTZMWQOSA-N,CCCC12SC3S[C@](CCC)(S[C@](CCC)(S3)S1)S2,-1.723940947,NA,Reaxys
IOYHCQBYQJQBSK-UHFFFAOYSA-N,OC1=CC(O)=C2C(=O)C(=COC2=C1)C1=CC(O)=C(O)C=C1,-0.792311105,18,Reaxys
IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(O)=O,-0.56827648,24.09,Reaxys
IQPNAANSBPBGFQ-UHFFFAOYSA-N,OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(O)=C(O)C=C1,-1.676181877,25,Reaxys
ISXYVHLPQGBMLC-VOTSOKGWSA-N,C\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-1.660560304,20,Reaxys
ITWUGZSJDMBOPH-UHFFFAOYSA-N,CC1=CC=C2NC3=C(CCCC3=O)C2=C1,-0.981287159,18.3,Reaxys
IVDVAMTYPIOUEQ-UHFFFAOYSA-N,CC1(C)C2CCC1(C)C(=O)C2C(=O)C1=CC=CC=C1,-0.228397885,17,Reaxys
IVPCDWBBGQCALV-FYWRMAATSA-N,O=C1O\C(=N\C2=C(C=CC=C2)N(=O)=O)C2=CC=CC=C12,-0.616930725,20,Reaxys
IVXFOQQPPONQTB-UHFFFAOYSA-N,CC(=O)OC1=CC=C(C=C1)C1=CC(=O)C2=C(OC(C)=O)C=C(OC(C)=O)C=C2O1,-1.899112145,25,Reaxys
IYGIFHMTRPKJNP-UHFFFAOYSA-N,C1OC(OC1C1COC(O1)C1=CC=CC=C1)C1=CC=CC=C1,-1.943231113,17,Reaxys
IZZVKENIUWWBHF-BUHFOSPRSA-N,CCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-1.613894727,20,Reaxys
JAKVEOCMEMGHGB-YFKPBYRVSA-N,[H][C@](N)(CSCC#C)C(O)=O,-3.088024262,25,Reaxys
